,Name,Team,L/R,POS,IP,GS,GP,HA,R,ER,HR,BB,K,W,L,S,HD,BS,ERA,WHIP,SB,CS,SBP,W-Z,K-Z,S-Z,ERA-Z,WHIP-Z,Z-SUM,Z-SUM-A,ACV,
67,Shawn Armstrong,TEX,RIGHT,RP,74.00000000000001,2,71,55,21,19,5,20,74,4,3,9,0,0,2.311,1.014,4,0,0.054,-1.121,-1.267,0.314,0.848,1.323,0.097,5.466,13.002472261551599,
68,Abner Uribe,MIL,RIGHT,RP,75.33333333333331,0,75,59,18,14,4,27,90,3,2,7,0,0,1.673,1.142,0,1,0.0,-1.384,-0.915,0.132,1.239,1.007,0.078,5.447,12.957275230272879,
69,Edward Cabrera,MIA,RIGHT,SP,137.66666666666666,26,26,162,60,54,17,48,150,8,7,0,0,0,3.530,1.525,35,4,0.254,-0.072,0.403,-0.506,0.269,-0.021,0.072,5.441,12.943002483553283,
70,Pete Fairbanks,TBA,RIGHT,RP,60.333333333333336,0,61,63,22,19,7,18,59,4,5,27,0,0,2.834,1.343,8,4,0.133,-1.121,-1.596,1.955,0.445,0.379,0.062,5.431,12.919214572353958,
71,Jack Leiter,TEX,RIGHT,SP,151.66666666666663,29,29,170,69,65,18,67,148,10,10,0,0,0,3.857,1.563,17,1,0.112,0.453,0.359,-0.506,-0.09,-0.222,-0.007,5.362,12.755077985078609,
72,Garrett Whitlock,BOS,RIGHT,RP,71.99999999999999,0,62,64,21,18,2,24,91,7,3,1,0,0,2.250,1.222,7,3,0.097,-0.334,-0.893,-0.415,0.86,0.758,-0.026,5.343,12.709880953799889,
73,Jameson Taillon,CHN,RIGHT,SP,129.66666666666666,23,23,159,54,53,24,27,98,11,7,0,0,0,3.679,1.434,10,5,0.077,0.715,-0.74,-0.506,0.103,0.395,-0.032,5.337,12.695608207080292,
74,Chris Bassitt,TOR,RIGHT,SP,170.33333333333331,31,32,230,80,75,22,52,166,11,9,0,0,0,3.963,1.656,14,3,0.082,0.715,0.754,-0.506,-0.241,-0.807,-0.086,5.2829999999999995,12.567153486603932,
75,Lucas Giolito,BOS,RIGHT,SP,144.99999999999997,26,26,171,62,55,17,56,121,10,4,0,0,0,3.414,1.565,12,5,0.083,0.453,-0.234,-0.506,0.415,-0.227,-0.1,5.269,12.533850410924876,
76,George Kirby,SEA,RIGHT,SP,126.0,23,23,157,60,59,15,29,137,10,8,0,0,0,4.214,1.476,9,3,0.071,0.453,0.117,-0.506,-0.426,0.199,-0.163,5.2059999999999995,12.383986570369121,
77,Michael Wacha,KCA,RIGHT,SP,172.6666666666666,31,31,216,74,74,15,45,126,10,13,0,0,0,3.857,1.512,2,0,0.012,0.453,-0.124,-0.506,-0.103,0.057,-0.223,5.146,12.241259103173165,
78,Dean Kremer,BAL,RIGHT,SP,171.66666666666666,29,31,220,83,80,22,45,142,11,10,0,0,0,4.194,1.544,5,2,0.029,0.715,0.227,-0.506,-0.553,-0.137,-0.254,5.115,12.167516578455256,
