,Name,Team,GP,BO,L/R,PA,AB,H,R,HR,RBI,BB,SB,CS,AVG,POS,R-Z,HR-Z,RBI-Z,SB-Z,AVG-Z,SUM-Z,SUM-Z-A,Adj-Val,ACV,
267,David Peralta,ARI| TBA| LAN| SDN,89,7,LEFT,260,236,63,35,8,28,22,2,0,0.267,RF,-2.049,-1.357,-2.079,-0.829,0.172,-6.143,-1.755,4.388,-4.668140559363744,
268,Miguel Andujar,ATH| CIN| NYA| PIT| OAK,75,2,RIGHT,319,302,86,31,4,30,13,3,2,0.285,LF,-2.27,-1.804,-1.978,-0.744,0.634,-6.163,-1.7750000000000004,4.388,-4.721338742376438,
269,Ronald Acuna,ATL,49,1,RIGHT,222,192,48,38,4,15,27,16,3,0.25,RF,-1.884,-1.804,-2.731,0.366,-0.11,-6.164,-1.7759999999999998,4.388,-4.72399865152707,
270,Bo Naylor,CLE,118,8,LEFT,389,354,71,39,13,39,29,6,3,0.201,CC,-1.829,-0.798,-1.527,-0.488,-1.549,-6.192,0.5899999999999999,6.782,1.5693463988744207,
271,Pavin Smith,ARI,56,5,LEFT,158,137,37,26,9,36,18,1,0,0.27,,-2.545,-1.246,-1.677,-0.915,0.133,-6.25,-6.25,0.0,-16.624432191466326,
272,Spencer Torkelson,DET,92,6,RIGHT,381,342,75,45,10,37,33,0,0,0.219,1B,-1.498,-1.134,-1.627,-1.0,-1.004,-6.264,-2.834,3.43,-7.5381825328984915,
273,Alejandro Kirk,TOR,101,6,RIGHT,386,340,86,23,5,54,35,0,0,0.253,CC,-2.711,-1.693,-0.774,-1.0,-0.118,-6.296,0.48599999999999977,6.782,1.2927158472084208,
274,Mitch Haniger,SEA| SFN,121,7,RIGHT,423,380,79,42,12,44,40,0,0,0.208,DH| RF,-1.664,-0.91,-1.276,-1.0,-1.449,-6.299,-1.9110000000000005,4.388,-5.083086386862745,
275,Miguel Amaya,CHN,108,9,RIGHT,363,328,76,32,8,47,23,0,0,0.232,CC,-2.215,-1.357,-1.126,-1.0,-0.65,-6.348,0.43400000000000016,6.782,1.1544005713754222,
276,Juan Yepez,SLN| WAS,62,3,RIGHT,249,226,64,32,6,26,18,2,1,0.283,1B,-2.215,-1.581,-2.179,-0.829,0.447,-6.357,-2.927,3.43,-7.78555408390751,
277,Lenyn Sosa,CHA,98,7,RIGHT,369,351,89,28,8,35,12,3,1,0.254,2B| 3B,-2.435,-1.357,-1.728,-0.744,-0.106,-6.37,-2.1450000000000005,4.225,-5.705505128111245,
278,Jason Heyward,SDN| CHN| LAN| HOU,84,8,LEFT,258,228,48,32,10,37,22,5,0,0.211,RF,-2.215,-1.134,-1.627,-0.573,-0.823,-6.372,-1.984,4.388,-5.27725975485907,
279,Triston Casas,BOS,62,4,LEFT,243,212,51,28,13,32,30,0,1,0.241,1B,-2.435,-0.798,-1.878,-1.0,-0.276,-6.387,-2.9569999999999994,3.43,-7.865351358426547,
280,Luis Campusano,SDN,87,8,RIGHT,299,277,63,37,8,40,20,0,0,0.227,CC,-1.939,-1.357,-1.477,-1.0,-0.64,-6.413,0.3689999999999998,6.782,0.9815064765841713,
281,Elias Diaz,SDN| COL,92,4,RIGHT,351,325,86,27,6,39,20,0,0,0.265,CC,-2.49,-1.581,-1.527,-1.0,0.179,-6.419,0.36300000000000043,6.782,0.9655470216803653,
282,Victor Caratini,HOU| CHN| SDN| MIL,86,9,SWITCH,274,245,66,30,8,30,23,0,1,0.269,CC,-2.325,-1.357,-1.978,-1.0,0.225,-6.436,0.3460000000000001,6.782,0.920328566119576,
283,Korey Lee,CHA| HOU,117,9,RIGHT,394,377,79,35,12,37,17,6,3,0.21,CC,-2.049,-0.91,-1.627,-0.488,-1.39,-6.464,0.3179999999999996,6.782,0.8458511099018057,
284,Carson Kelly,CHN| ARI| DET| TEX,85,9,RIGHT,313,281,67,32,9,37,25,0,0,0.238,CC,-2.215,-1.246,-1.627,-1.0,-0.411,-6.499,0.28300000000000036,6.782,0.7527542896295962,
285,Michael Siani,SLN| CIN,107,9,LEFT,334,298,68,35,2,20,21,20,3,0.228,CF,-2.049,-2.028,-2.48,0.707,-0.671,-6.522,-2.1340000000000003,4.388,-5.676246127454263,
286,Ke'Bryan Hayes,CIN| PIT,96,3,RIGHT,396,365,85,38,4,25,23,11,2,0.233,3B,-1.884,-1.804,-2.229,-0.061,-0.69,-6.669,-2.5629999999999997,4.106,-6.81734715307651,
287,Gary Sanchez,BAL| NYA| MIN| NYN| SDN| MIL,88,6,RIGHT,280,245,54,30,11,37,27,0,0,0.22,DH| CC,-2.325,-1.022,-1.627,-1.0,-0.698,-6.673,0.10899999999999999,6.782,0.2899300974191727,
288,Jonny DeLuca,TBA| LAN,99,6,RIGHT,362,332,72,28,6,31,24,15,6,0.217,RF| CF,-2.435,-1.581,-1.928,0.28,-1.037,-6.701,-2.3129999999999997,4.388,-6.152369865417858,
289,Anthony Rizzo,CHN| NYA,92,6,LEFT,375,337,77,38,8,35,27,0,0,0.228,1B,-1.884,-1.357,-1.728,-1.0,-0.751,-6.72,-3.2899999999999996,3.43,-8.751101105587873,
290,Sam Hilliard,COL| ATL,47,9,LEFT,158,138,33,24,10,27,14,4,1,0.239,LF,-2.656,-1.134,-2.129,-0.659,-0.195,-6.772,-2.3840000000000003,4.388,-6.341223415112917,
291,Jake Rogers,DET,97,9,RIGHT,337,310,61,43,10,36,22,1,0,0.197,CC,-1.609,-1.134,-1.677,-0.915,-1.447,-6.782,0.0,6.782,0.0,
292,Nick Gordon,MIN| MIA,92,7,LEFT,275,260,59,29,8,32,11,5,5,0.227,LF,-2.38,-1.357,-1.878,-0.573,-0.611,-6.8,-2.412,4.388,-6.415700871330684,
293,Whit Merrifield,KCA| TOR| ATL| PHI,89,9,RIGHT,335,293,65,40,4,15,35,15,2,0.222,2B| LF,-1.774,-1.804,-2.731,0.28,-0.803,-6.832,-2.444,4.388,-6.5008179641509924,
294,Mitch Garver,SEA| MIN| TEX,113,7,RIGHT,430,367,63,37,15,51,53,0,0,0.172,CC| DH,-1.939,-0.575,-0.925,-1.0,-2.422,-6.861,-0.07899999999999974,6.782,-0.21013282290013366,
295,Manuel Margot,DET| TBA| MIN,116,1,RIGHT,343,315,75,34,4,31,21,5,0,0.238,RF| LF| CF,-2.105,-1.804,-1.928,-0.573,-0.469,-6.88,-2.492,4.388,-6.628493603381454,
296,Harold Ramirez,MIA| CLE| TBA| WAS,73,3,RIGHT,246,238,62,28,2,29,5,6,2,0.261,DH,-2.435,-2.028,-2.029,-0.488,0.056,-6.924,-4.3515,2.5725000000000002,-11.574594668986514,
297,Dominic Smith,SFN| NYN| WAS| BOS| CIN,92,6,LEFT,307,275,64,33,6,34,28,1,1,0.233,1B,-2.16,-1.581,-1.778,-0.915,-0.523,-6.956,-3.5260000000000002,3.43,-9.378839665137644,
298,Abraham Toro,BOS| HOU| SEA| MIL| OAK,93,1,SWITCH,364,337,81,34,6,26,20,4,2,0.24,3B,-2.105,-1.581,-2.179,-0.659,-0.444,-6.967,-2.8609999999999998,4.106,-7.610000079965625,
299,Connor Norby,MIA| BAL,45,2,RIGHT,194,178,42,32,9,20,15,3,3,0.236,3B,-2.215,-1.246,-2.48,-0.744,-0.295,-6.979,-2.873,4.106,-7.641918989773242,
300,Andy Ibanez,DET| TEX,99,2,RIGHT,244,224,54,30,5,32,15,2,3,0.241,2B,-2.325,-1.693,-1.878,-0.829,-0.283,-7.008,-2.7830000000000004,4.225,-7.402527166216126,
301,Zach McKinstry,DET| LAN| CHN,111,7,LEFT,325,297,64,30,4,23,24,16,0,0.215,SS| 3B,-2.325,-1.804,-2.33,0.366,-0.959,-7.052,-0.9719999999999995,6.08,-2.5854316944168416,
302,Jhonkensy Noel,CLE,65,7,RIGHT,198,179,39,24,13,28,13,0,0,0.218,RF,-2.656,-0.798,-2.079,-1.0,-0.545,-7.078,-2.6900000000000004,4.388,-7.155155615207108,
303,James McCann,ARI| CHA| NYN| BAL,64,9,RIGHT,233,214,50,27,8,31,13,1,0,0.234,CC,-2.49,-1.357,-1.928,-0.915,-0.392,-7.083,-0.30100000000000016,6.782,-0.8006326543410187,
304,Jorge Mateo,BAL| SDN,62,9,RIGHT,208,192,44,28,5,18,10,12,2,0.229,2B,-2.435,-1.693,-2.581,0.024,-0.418,-7.102,-2.8770000000000007,4.225,-7.652558626375781,
305,Eddie Rosario,ATL| LAN| MIN| CLE| WAS,91,7,LEFT,319,297,52,33,10,35,16,9,1,0.175,LF| RF,-2.16,-1.134,-1.728,-0.232,-1.882,-7.135,-2.747,4.388,-7.306770436793279,
306,Hunter Goodman,COL,69,8,RIGHT,224,211,40,24,13,36,8,1,1,0.19,RF| CC,-2.656,-0.798,-1.677,-0.915,-1.102,-7.148,-0.36599999999999966,6.782,-0.9735267491322671,
307,Chas McCormick,HOU,84,9,RIGHT,267,242,51,31,5,27,17,8,2,0.211,RF| LF,-2.27,-1.693,-2.129,-0.317,-0.87,-7.278,-2.8899999999999997,4.388,-7.687137445334028,
308,Yasmani Grandal,CHA| PIT,68,7,SWITCH,243,215,49,26,9,27,24,1,0,0.228,CC,-2.545,-1.246,-2.129,-0.915,-0.489,-7.323,-0.5410000000000004,6.782,-1.439010850493326,
309,Ildemaro Vargas,ARI| CHN| MIN| PIT| WAS,91,7,SWITCH,303,272,67,21,1,30,19,9,4,0.246,2B| 3B,-2.821,-2.14,-1.978,-0.232,-0.233,-7.404,-3.1790000000000003,4.225,-8.455851189867433,
310,Austin Martin,MIN,79,9,RIGHT,257,233,59,35,1,16,20,6,3,0.253,LF| CF,-2.049,-2.14,-2.681,-0.488,-0.076,-7.434,-3.0460000000000003,4.388,-8.10208327283303,
311,Derek Hill,CHA| MIA| DET| WAS| SFN| TEX,49,7,RIGHT,172,162,39,17,7,25,5,6,2,0.241,CF,-3.041,-1.469,-2.229,-0.488,-0.208,-7.436,-3.048,4.388,-8.107403091134298,
312,Edouard Julien,MIN,91,1,LEFT,301,266,53,36,8,21,33,6,0,0.199,2B,-1.994,-1.357,-2.43,-0.488,-1.191,-7.461,-3.2360000000000007,4.225,-8.607466011453607,
313,Bo Bichette,TOR,81,4,RIGHT,336,311,70,29,4,31,20,5,1,0.225,SS,-2.38,-1.804,-1.928,-0.573,-0.775,-7.461,-1.3810000000000002,6.08,-3.6733345370264,
314,Nicky Lopez,ANA| CHN| KCA| ATL| CHA,120,1,LEFT,445,398,96,39,1,21,37,5,7,0.241,SS| 2B,-1.829,-2.14,-2.43,-0.573,-0.498,-7.47,-1.3899999999999997,6.08,-3.69727371938211,
315,Nelson Velazquez,CHN| KCA,64,5,RIGHT,230,205,41,31,8,27,19,2,0,0.2,DH,-2.27,-1.357,-2.129,-0.829,-0.906,-7.492,-4.919499999999999,2.5725000000000002,-13.085423066546973,
316,Christian Vazquez,MIN| BOS| HOU,90,9,RIGHT,315,294,65,29,7,27,11,3,1,0.221,CC,-2.38,-1.469,-2.129,-0.744,-0.823,-7.545,-0.7629999999999999,6.782,-2.029510681934209,
317,Jack Suwinski,PIT,83,8,LEFT,277,247,45,29,9,26,27,8,1,0.182,LF| CF,-2.38,-1.246,-2.179,-0.317,-1.43,-7.552,-3.1639999999999997,4.388,-8.415952552607912,
318,Jose Trevino,CIN| TEX| NYA,71,8,RIGHT,234,209,45,26,8,28,20,1,0,0.215,CC,-2.545,-1.357,-2.079,-0.915,-0.678,-7.574,-0.7919999999999998,6.782,-2.1066480473026123,
319,Austin Hays,CIN| BAL| PHI,78,6,RIGHT,255,235,60,26,5,20,9,2,2,0.255,LF,-2.545,-1.693,-2.48,-0.829,-0.039,-7.586,-3.1980000000000004,4.388,-8.50638946372949,
320,Joey Meneses,WAS,76,4,RIGHT,313,281,65,19,3,42,21,2,0,0.231,1B| DH,-2.931,-1.916,-1.376,-0.829,-0.565,-7.618,-4.188000000000001,3.43,-11.139699522857757,
321,Tommy Edman,LAN| SLN,37,6,SWITCH,153,139,33,20,6,20,11,6,0,0.237,CF,-2.876,-1.581,-2.48,-0.488,-0.214,-7.639,-3.2510000000000003,4.388,-8.647364648713125,
322,Brett Wisely,ATL| SFN,84,9,LEFT,272,252,60,23,4,31,13,2,3,0.238,2B| SS,-2.711,-1.804,-1.928,-0.829,-0.376,-7.648,-1.5679999999999996,6.08,-4.170737548195071,
323,Josh Jung,TEX,46,6,RIGHT,188,178,47,19,7,16,8,4,0,0.264,3B,-2.931,-1.469,-2.681,-0.659,0.09,-7.65,-3.5440000000000005,4.106,-9.426718029849066,
324,Emmanuel Rivera,BAL| KCA| ARI| MIA,96,8,RIGHT,302,265,63,23,5,29,26,2,0,0.238,3B,-2.711,-1.693,-2.029,-0.829,-0.402,-7.663,-3.5570000000000004,4.106,-9.461296848807317,
325,Javier Baez,DET| CHN| NYN,79,8,RIGHT,289,272,50,25,6,37,12,8,1,0.184,SS,-2.6,-1.581,-1.627,-0.317,-1.541,-7.666,-1.5860000000000003,6.08,-4.218615912906496,
326,Pedro Pages,SLN,65,8,RIGHT,218,202,48,19,7,27,13,2,0,0.238,CC,-2.931,-1.469,-2.129,-0.829,-0.308,-7.667,-0.8849999999999998,6.782,-2.3540195983116314,
327,Danny Jansen,MIL| TBA| TOR| BOS,85,7,RIGHT,324,278,57,35,9,24,40,0,0,0.205,CC,-2.049,-1.246,-2.28,-1.0,-1.121,-7.696,-0.9139999999999997,6.782,-2.4311569636800345,
328,Eloy Jimenez,CHA| BAL,98,4,RIGHT,349,324,77,25,6,23,22,3,0,0.238,DH,-2.6,-1.581,-2.33,-0.744,-0.494,-7.749,-5.176499999999999,2.5725000000000002,-13.769019718260067,
329,Nolan Jones,CLE| COL,76,7,LEFT,297,256,58,27,3,28,36,4,4,0.227,LF,-2.49,-1.916,-2.079,-0.659,-0.609,-7.752,-3.364,4.388,-8.947934382734836,
330,Mike Trout,ANA,29,3,RIGHT,126,109,24,17,10,14,16,6,1,0.22,CF,-3.041,-1.134,-2.781,-0.488,-0.313,-7.757,-3.3689999999999998,4.388,-8.961233928488008,
331,Alex Call,LAN| WAS| CLE,29,1,RIGHT,113,99,34,15,3,14,12,5,1,0.343,RF,-3.151,-1.916,-2.781,-0.573,0.655,-7.768,-3.38,4.388,-8.990492929144988,
332,Tyler Soderstrom,ATH| OAK,60,5,LEFT,213,189,44,18,9,26,20,0,0,0.233,1B,-2.986,-1.246,-2.179,-1.0,-0.359,-7.769,-4.339,3.43,-11.541345804603584,
333,Dairon Blanco,KCA,45,9,RIGHT,132,120,31,17,4,13,8,10,3,0.258,LF,-3.041,-1.804,-2.831,-0.146,0.008,-7.816,-3.428,4.388,-9.11816856837545,
334,Trent Grisham,NYA| SDN,67,9,LEFT,209,179,34,20,9,31,22,1,1,0.19,CF,-2.876,-1.246,-1.928,-0.915,-0.93,-7.894,-3.5060000000000002,4.388,-9.32564148212495,
335,Ben Rortvedt,LAN| TBA| MIN| NYA,105,8,LEFT,328,290,66,27,3,31,34,1,0,0.228,CC,-2.49,-1.916,-1.928,-0.915,-0.667,-7.916,-1.1340000000000003,6.782,-3.0163369768196513,
336,Willie Calhoun,TEX| SFN| NYA| ANA,68,4,LEFT,254,229,56,26,5,20,23,0,1,0.245,DH,-2.545,-1.693,-2.48,-1.0,-0.228,-7.946,-5.3735,2.5725000000000002,-14.293021820935088,
337,Enmanuel Valdez,PIT| BOS,72,7,LEFT,223,201,43,23,6,28,17,1,1,0.214,2B,-2.711,-1.581,-2.079,-0.915,-0.673,-7.958,-3.7330000000000005,4.225,-9.929440859319008,
338,Kevin Kiermaier,TBA| TOR| LAN,89,9,LEFT,281,259,51,28,5,26,12,6,2,0.197,CF,-2.435,-1.693,-2.179,-0.488,-1.206,-8.001,-3.6129999999999995,4.388,-9.610251761242854,
339,Nick Fortes,MIA| TBA,101,9,RIGHT,335,308,70,27,4,29,11,0,1,0.227,CC,-2.49,-1.804,-2.029,-1.0,-0.715,-8.039,-1.2569999999999997,6.782,-3.3435058023477064,
340,Kyle Farmer,COL| CIN| MIN,95,8,RIGHT,242,215,46,24,5,25,19,3,5,0.214,2B| 3B,-2.656,-1.693,-2.229,-0.744,-0.72,-8.041,-3.8160000000000007,4.225,-10.150213318821683,
341,Michael Taylor,CHA| WAS| KCA| MIN| PIT,89,9,RIGHT,300,269,52,32,5,21,23,7,1,0.193,CF,-2.215,-1.693,-2.43,-0.403,-1.327,-8.067,-3.6790000000000003,4.388,-9.785805765184739,
342,Nick Martini,COL| CHN| CIN,47,7,LEFT,163,146,31,23,5,24,9,1,3,0.212,DH,-2.711,-1.693,-2.28,-0.915,-0.507,-8.104,-5.531499999999999,2.5725000000000002,-14.713287466735355,
343,Noelvi Marte,CIN,65,9,RIGHT,242,229,48,24,4,18,9,9,3,0.21,3B,-2.656,-1.804,-2.581,-0.232,-0.843,-8.115,-4.009,4.106,-10.663575784894162,
344,Edward Olivares,KCA| SDN| PIT,55,5,RIGHT,196,174,39,22,5,23,16,1,0,0.224,RF,-2.766,-1.693,-2.33,-0.915,-0.446,-8.149,-3.7609999999999992,4.388,-10.003918315536774,
345,Adam Duvall,ATL| MIA| BOS,100,6,RIGHT,330,303,55,29,11,30,21,0,0,0.182,LF| RF,-2.38,-1.022,-1.978,-1.0,-1.77,-8.151,-3.763,4.388,-10.009238133838046,
346,Blaze Alexander,ARI,54,8,RIGHT,185,166,41,19,3,21,15,3,0,0.247,SS,-2.931,-1.916,-2.43,-0.744,-0.134,-8.155,-2.0749999999999993,6.08,-5.519311487566818,
347,Dane Myers,MIA,41,6,RIGHT,108,95,25,16,3,19,8,4,1,0.263,RF,-3.096,-1.916,-2.53,-0.659,0.042,-8.16,-3.7720000000000002,4.388,-10.033177316193758,
348,Jackson Holliday,BAL,60,9,LEFT,208,190,36,27,5,23,15,4,0,0.189,2B,-2.49,-1.693,-2.33,-0.659,-0.994,-8.165,-3.9399999999999995,4.225,-10.480042053500371,
349,Vidal Brujan,ATL| BAL| CHN| TBA| MIA,92,8,SWITCH,278,248,55,32,2,16,25,5,5,0.222,2B| SS,-2.215,-2.028,-2.681,-0.573,-0.681,-8.178,-2.0980000000000008,6.08,-5.5804893980314185,
350,Ezequiel Duran,TEX,87,8,RIGHT,285,268,66,24,3,20,14,1,1,0.246,3B,-2.656,-1.916,-2.48,-0.915,-0.231,-8.197,-4.090999999999999,4.106,-10.881688335246197,
351,Adam Frazier,KCA| PIT| SDN| SEA| BAL,101,7,LEFT,294,262,53,33,4,22,22,3,0,0.202,2B| RF,-2.16,-1.804,-2.38,-0.744,-1.112,-8.2,-3.8119999999999994,4.388,-10.13957368221914,
352,Joey Loperfido,TOR| HOU,76,8,LEFT,262,243,52,23,4,25,13,4,1,0.214,LF| CF,-2.711,-1.804,-2.229,-0.659,-0.813,-8.216,-3.8279999999999994,4.388,-10.182132228629294,
353,Addison Barger,TOR,67,7,LEFT,225,208,41,20,7,28,14,2,0,0.197,RF| 3B,-2.876,-1.469,-2.079,-0.829,-0.966,-8.219,-3.8309999999999995,4.388,-10.190111956081198,
354,Chris Taylor,ANA| LAN,80,9,RIGHT,246,213,43,25,4,23,28,5,1,0.202,2B| LF| 3B,-2.6,-1.804,-2.33,-0.573,-0.911,-8.219,-3.8309999999999995,4.388,-10.190111956081198,
355,Jose Tena,WAS| CLE,44,5,LEFT,168,161,43,14,3,15,7,6,1,0.267,3B,-3.207,-1.916,-2.731,-0.488,0.119,-8.223,-4.117000000000001,4.106,-10.9508459731627,
356,Adrian Del Castillo,ARI,25,6,LEFT,87,80,25,12,4,19,7,1,1,0.312,CC,-3.317,-1.804,-2.53,-0.915,0.339,-8.228,-1.4459999999999997,6.782,-3.8462286318176484,
357,Junior Caminero,TBA,43,3,RIGHT,177,165,41,15,6,18,11,2,0,0.248,3B,-3.151,-1.581,-2.581,-0.829,-0.114,-8.256,-4.15,4.106,-11.038622975133642,
358,Joey Gallo,TEX| NYA| LAN| MIN| WAS,74,8,LEFT,260,223,36,24,10,27,32,3,1,0.161,1B,-2.656,-1.134,-2.129,-0.744,-1.647,-8.309,-4.879,3.43,-12.977696745946272,
359,Jonathan Aranda,TBA,44,4,LEFT,143,128,30,22,6,14,12,0,0,0.234,1B,-2.766,-1.581,-2.781,-1.0,-0.227,-8.355,-4.925000000000001,3.43,-13.100052566875467,
360,Christian Bethancourt,OAK| TBA| CHN| MIA,46,9,RIGHT,147,139,29,17,5,22,5,3,0,0.209,CC,-3.041,-1.693,-2.38,-0.744,-0.522,-8.38,-1.5980000000000008,6.782,-4.250534822714112,
361,Patrick Wisdom,CHN,73,2,RIGHT,174,158,27,16,8,23,10,5,0,0.171,1B,-3.096,-1.357,-2.33,-0.573,-1.052,-8.409,-4.979000000000001,3.43,-13.243687661009737,
362,Sean Murphy,ATL| OAK,71,7,RIGHT,264,233,45,19,10,25,27,0,0,0.193,CC,-2.931,-1.134,-2.229,-1.0,-1.153,-8.447,-1.6649999999999991,6.782,-4.428748735806627,
363,Daniel Schneemann,CLE,73,7,LEFT,221,193,42,17,5,22,25,3,2,0.218,SS,-3.041,-1.693,-2.38,-0.744,-0.592,-8.449,-2.3689999999999998,6.08,-6.301324777853396,
364,Jerar Encarnacion,SFN| MIA,34,6,RIGHT,119,113,28,13,5,19,5,1,0,0.248,,-3.262,-1.693,-2.53,-0.915,-0.084,-8.483,-8.483,0.0,-22.564009324833417,
365,Elehuris Montero,COL,65,8,RIGHT,247,224,46,23,4,28,20,0,0,0.205,1B,-2.711,-1.804,-2.079,-1.0,-0.898,-8.492,-5.062000000000001,3.43,-13.46446012051241,
366,Taylor Walls,TBA,74,9,SWITCH,252,218,40,26,1,14,31,14,3,0.183,SS,-2.545,-2.14,-2.781,0.195,-1.241,-8.512,-2.4320000000000004,6.08,-6.468899054343378,
367,Cavan Biggio,KCA| TOR| ATL| LAN,69,9,LEFT,224,188,37,25,5,19,24,2,0,0.197,2B,-2.6,-1.693,-2.53,-0.829,-0.877,-8.53,-4.305,4.225,-11.450908893482005,
368,Justyn-Henry Malloy,DET,69,7,RIGHT,230,202,41,18,8,21,23,1,1,0.203,DH| LF,-2.986,-1.357,-2.43,-0.915,-0.847,-8.535,-4.147,4.388,-11.030643247681738,
369,Dominic Canzone,SEA| ARI,62,7,LEFT,188,168,33,20,8,17,18,1,0,0.196,LF| RF,-2.876,-1.357,-2.631,-0.915,-0.789,-8.567,-4.179,4.388,-11.115760340502044,
370,Daz Cameron,MIL| DET| OAK,58,6,RIGHT,186,170,34,21,5,15,13,5,0,0.2,RF| LF,-2.821,-1.693,-2.731,-0.573,-0.751,-8.569,-4.181000000000001,4.388,-11.121080158803316,
371,Tyler Nevin,BAL| DET| OAK,86,5,RIGHT,278,245,50,22,7,20,25,1,0,0.204,3B| 1B,-2.766,-1.469,-2.48,-0.915,-1.006,-8.636,-4.529999999999999,4.106,-12.049388452374792,
372,Dylan Crews,WAS,31,1,RIGHT,132,119,26,12,3,8,11,12,3,0.218,RF,-3.317,-1.916,-3.082,0.024,-0.357,-8.648,-4.26,4.388,-11.331212981703448,
373,Kody Clemens,MIN| PHI| DET,42,6,LEFT,120,114,25,17,5,18,5,0,0,0.219,,-3.041,-1.693,-2.581,-1.0,-0.335,-8.649,-8.649,0.0,-23.00555424383876,
374,Casey Schmitt,SFN,38,8,RIGHT,113,107,27,11,6,16,4,0,0,0.252,,-3.372,-1.581,-2.681,-1.0,-0.042,-8.676,-8.676,0.0,-23.077371790905897,
375,Ben Rice,NYA,47,8,LEFT,178,152,26,20,7,23,20,0,1,0.171,1B,-2.876,-1.469,-2.33,-1.0,-1.01,-8.685,-5.255000000000001,3.43,-13.977822586584889,
376,Luis Matos,SFN,44,1,RIGHT,156,150,32,13,5,25,5,0,0,0.213,RF,-3.262,-1.693,-2.229,-1.0,-0.509,-8.693,-4.305,4.388,-11.450908893482005,
377,Nick Senzel,CIN| CHA| WAS,74,7,RIGHT,267,236,46,25,7,18,28,1,3,0.195,3B,-2.6,-1.469,-2.581,-0.915,-1.135,-8.7,-4.593999999999999,4.106,-12.219622638015407,
378,Leo Jimenez,TOR,61,9,RIGHT,210,179,41,18,4,19,12,0,0,0.229,SS| 2B,-2.986,-1.804,-2.53,-1.0,-0.391,-8.712,-2.6319999999999997,6.08,-7.000880884470298,
379,Weston Wilson,PHI,39,8,RIGHT,98,88,25,13,3,10,8,3,0,0.284,LF,-3.262,-1.916,-2.982,-0.744,0.18,-8.723,-4.335000000000001,4.388,-11.530706168001046,
380,Alex Kirilloff,MIN,57,3,LEFT,178,159,32,20,5,20,15,0,0,0.201,LF,-2.876,-1.693,-2.48,-1.0,-0.687,-8.736,-4.348000000000001,4.388,-11.565284986959297,
381,Evan Carter,TEX,45,3,LEFT,162,144,27,23,5,15,15,2,0,0.188,LF,-2.711,-1.693,-2.731,-0.829,-0.775,-8.739,-4.351000000000001,4.388,-11.5732647144112,
382,Brooks Lee,MIN,50,8,SWITCH,185,172,38,9,3,27,11,3,0,0.221,SS,-3.482,-1.916,-2.129,-0.744,-0.483,-8.755,-2.6750000000000007,6.08,-7.115256977947589,
383,Austin Slater,CHA| NYA| SFN| BAL| CIN,78,1,RIGHT,212,177,37,22,2,18,26,3,2,0.209,LF| RF,-2.766,-2.028,-2.581,-0.744,-0.659,-8.777,-4.388999999999999,4.388,-11.67434126213531,
384,Wilmer Flores,SFN,70,2,RIGHT,242,214,44,18,4,26,20,0,0,0.206,1B,-2.986,-1.804,-2.179,-1.0,-0.854,-8.823,-5.393000000000001,3.43,-14.344890049372465,
385,Nick Ahmed,TEX| ARI| LAN| SDN| SFN,68,9,RIGHT,228,210,48,20,2,17,11,2,1,0.229,SS,-2.876,-2.028,-2.631,-0.829,-0.467,-8.831,-2.7509999999999994,6.08,-7.317410073395816,
386,Gabriel Arias,CLE,48,7,RIGHT,161,153,34,14,3,15,6,5,2,0.222,,-3.207,-1.916,-2.731,-0.573,-0.415,-8.842,-8.842,0.0,-23.51891670991124,
387,Eric Haase,MIL| DET| CLE,22,9,RIGHT,69,66,18,9,5,14,3,0,0,0.273,,-3.482,-1.693,-2.781,-1.0,0.077,-8.878,-8.878,0.0,-23.614673439334087,
388,Jordan Walker,SLN,50,7,RIGHT,178,164,33,16,5,20,10,1,0,0.201,RF,-3.096,-1.693,-2.48,-0.915,-0.71,-8.893,-4.505000000000001,4.388,-11.98289072360893,
389,Robbie Grossman,OAK| DET| ATL| TEX| CHA| KCA,87,6,SWITCH,245,208,44,21,3,16,34,3,0,0.212,DH,-2.821,-1.916,-2.681,-0.744,-0.735,-8.897,-6.3245000000000005,2.5725000000000002,-16.822595423188606,
390,Trey Lipscomb,WAS,60,8,RIGHT,211,190,38,20,1,10,16,11,2,0.2,3B,-2.876,-2.14,-2.982,-0.061,-0.84,-8.899,-4.792999999999999,4.106,-12.748944558991694,
391,Dylan Carlson,BAL| SLN| TBA,86,7,SWITCH,265,235,49,17,3,25,22,2,1,0.209,LF| RF| CF,-3.041,-1.916,-2.229,-0.829,-0.885,-8.901,-4.513,4.388,-12.004169996814005,
392,Kyle McCann,OAK,52,7,LEFT,157,140,33,13,5,15,16,0,0,0.236,CC,-3.262,-1.693,-2.731,-1.0,-0.234,-8.92,-2.138,6.782,-5.6868857640568,
393,Anthony Rendon,ANA,56,1,RIGHT,238,206,45,21,0,14,23,6,1,0.218,3B,-2.821,-2.251,-2.781,-0.488,-0.618,-8.96,-4.854000000000001,4.106,-12.91119901718041,
394,DJ LeMahieu,NYA,63,9,RIGHT,228,201,41,19,2,26,19,0,1,0.204,3B| 1B,-2.931,-2.028,-2.179,-1.0,-0.827,-8.965,-4.859,4.106,-12.92449856293358,
